feature number,feature choose,component number,"precision(k=1,10,100)","recall(k=1,10,100)"
2,"V1,V2",5,"0,  0,  0.14","0,  0,  0.086"
2,"V3,V4",5,"0,  0.5,  0.37","0,  0.031,  0.228"
6,"V3','V4','V5','V6','V7','V8",5,"0,  0.2,  0.26","0,  0.012,  0.16"
18,"V3','V4','V5','V6','V7','V8','V13','V14','V15','V16','V17','V18','V23','V24','V9','V11','V12','V19'",5,0，0，0.37,0，0，0.28
2,"V3,V4",2,"0,  0.6， 0.41",0，0.037， 0.253
2,"V3,V4",10,0，0.6， 0.28,0，0.037，0.173
2,"V3,V4",18,0，0.3，0.39,0，0.019，0.241
